Name,Distance,Mass,Radius,Gravity
Sun,0.000015813,1.989e+30,695700000.0,274.2691614595739
Sirius,0008.6,4.1769e+30,1189647000.0,196.971799550325
Canopus,0310,2.9835e+31,49394700000.0,0.8161153386021839
Alpha Centauri,0004.4,2.1879e+30,834840000.0,209.51116500384123
Arcturus,0037,2.1879e+30,18088200000.0,0.4462959727892475
Vega,0025,4.3758e+30,1878390000.0000002,82.76984296448046
Capella,0043,5.1714e+30,8348400000.0,4.952082081908975
Rigel,0860,4.574699999999999e+31,54890730000.00001,1.01332978543217
Procyon,0011.4,2.9835e+30,1321830000.0,113.9622554541166
Betelgeuse,0640,3.978e+31,660915000000.0,0.006077986957552886
Achernar,0144,1.33263e+31,6470010000.000001,21.246425965766505
Hadar,0390,2.08845e+31,5983020000.0,38.937617567949246
Altair,0017,3.5802e+30,1252260000.0,152.37175636643
Acrux,0320,3.5801999999999996e+31,6191730000.0,62.326030883377484
Aldebaran,0065,2.9835e+30,30610800000.0,0.21250193294905007
Antares,0600,2.3868e+31,473076000000.0,0.0071177118025840995
Spica,0260,2.2734269999999998e+31,5196879000.0,56.18003500809001
Pollux,0034,3.7790999999999997e+30,6122160000.000001,6.729227876719917
Fomalhaut,0025,3.7790999999999997e+30,1252260000.0,160.83685394234274
Deneb,"2,600",3.7791e+31,141227100000.0,0.12645572733460908
Mimosa,0350,3.1824e+31,5843880000.0,62.19255361895101
Regulus,0077,7.558199999999999e+30,2156670000.0,108.45190567600218
Adhara,0430,2.48625e+31,9739800000.0,17.491655705329972
Shaula,0700,2.88405e+31,6122160000.000001,51.354633796020416
Castor,0052,5.5692e+30,1669680000.0,133.32528682062622
Gacrux,0088,2.9835e+30,58438800000.0,0.058305519017766566
Bellatrix,0240,1.7105399999999998e+31,4035060000.0,70.11637302474244
Elnath,0130,9.945e+30,2921940000.0,77.74069202368875
Miaplacidus,0110,6.9615e+30,4730760000.0,20.759992757536956
Alnilam,"2,000",6.3648e+31,29219400000.0,4.975404289516081
Gamma Velorum,"01,100",1.7900999999999998e+31,4174200000.0,68.56729036489348
Alnair,0101,7.956e+30,2365380000.0,94.90282403445465
Alioth,0081,5.7681e+30,2921940000.0,45.08960137373948
Alnitak,01050,6.5637e+31,13914000000.0,22.62720582041485
Dubhe,0120,8.453249999999999e+30,20871000000.0,1.2951599291146547
Mirfak,0590,1.6906499999999999e+31,47307600000.0,0.5041712526830403
Wezen,"1,600",3.3812999999999997e+31,139140000000.0,0.11656439362031892
Sargas,0270,1.13373e+31,18088200000.0,2.3126245862715553
Kaus Australis,0140,6.9615e+30,4730760000.0,20.759992757536956
Avior,0630,1.7900999999999998e+31,90441000000.0,0.14606050018557193
Alkaid,0104,1.2132899999999998e+31,2365380000.0,144.72680665254333
Menkalinan,081,4.75371e+30,1927089000.0,85.43097080483021
Atria,0390,1.3923e+31,64004400000.0,0.22682941046987448
Alhena,0109,5.5692e+30,2295810000.0,70.51915997124031
Peacock,0180,1.17351e+31,3339360000.0,70.23385645015131
Alsephina,0080,4.7735999999999997e+30,2017530000.0,78.26943965552644
Mirzam,0500,2.68515e+31,6957000000.0,37.02633679704248
Polaris,0430,1.07406e+31,27132300000.0,0.9737366679038129
Alphard,0180,5.967e+30,34785000000.0,0.32912299375148873
Mintaka,01200,4.7736e+31,11479050000.0,24.17799770442525
Scheat,0196,4.1769e+30,66091500000.0,0.0638188630543053
Almaaz,0653,2.9835e+31,97398000000.0,0.20989986846395964
Rasalgethi,0360,5.5692e+30,194796000000.0,0.009795327194984781
Tau Ceti,011.9,1.557387e+30,621260100.0,269.29967110479345
Delta Pavonis,019.92,1.9710989999999998e+30,848754000.0,182.61269753187165
Ran,010.48,1.6309799999999997e+30,514818000.0,410.7025427261698
V382 Carinae,"08,900",3.978e+31,337414500000.0,0.023319728894426524
Eta Carinae,"07,500",1.989e+32,41742000000.0,7.618587818321498
Delta Cephei,0887,8.950499999999999e+30,30958650000.0,0.6232603088337748
Mu Cephei,"06,000",3.8188799999999997e+31,676220400000.0,0.005573726798954914
Titawin,044.25,2.52603e+30,1029636000.0,159.02202111653529
Rho Cassiopeiae,"08,154",4.3758e+31,442465200000.0,0.014917135279732374
P Cygni,"05,545",5.967e+31,52873200000.0,1.4245281931764575
VV Cephei,"04,900",3.61998e+31,358981200000.0,0.018747741791975563
61 Cygni,011.41,1.3923e+30,462640500.0,434.1419255394918
R Doradus,0178,1.3923e+30,207318600000.0,0.0021619342937446713
Polaris Australis,0281,3.16251e+30,2601918000.0,31.176754176608036
R Coronae Borealis,"04,566",1.6906499999999997e+30,59134500000.0,0.03226696017171458
54 Piscium,036.1,1.51164e+30,653958000.0,235.9037604224493
Mira,0300,2.3867999999999998e+30,257409000000.0,0.00240411244522636
RW Cephei,"014,000",2.76471e+31,805620600000.0,0.002842985601617999
Lacaille 8760,012.87,1.1933999999999999e+30,354807000.0,632.685493563031
II Pegasi,0130,1.5912e+30,2365380000.0,18.980564806890932
VY Canis Majoris,"03,900",3.3812999999999997e+31,987894000000.0,0.0023123267927061875
Pistol Star,"025,000",1.989e+32,222624000000.0,0.2678409779878652
S Doradus,"0169,000",4.7736e+31,264366000000.0,0.04558490218164664
UY Scuti,"05,100",1.3923e+31,525253500000.0,0.003368070049939946
Barnard's Star,05.98,2.7846e+29,139140000.0,959.9420651085088
Proxima Centauri,04.25,2.3868e+29,104355000.0,1462.7688611177275
KIC 8462852,"01,470",2.84427e+30,1099206000.0,157.1081961573429
R136a1,"0163,000",5.7680999999999994e+32,22262400000.0,77.6738836164809
Melnick 42,"0163,000",3.75921e+32,14679270000.000002,116.4324060911917
WR 102,"018,134",3.7791e+31,271323000.0,34261.10498180082
VFTS 352,"0164,000",1.1432771999999998e+32,10066779000.0,75.29335961731137
YBP 1194,"02,772",2.00889e+30,688743000.0,282.6363157577489
Gliese 1214,047.5,3.1824e+29,146097000.0,995.0808579032163
NML Cygni,"05,251",9.945e+31,1140948000000.0,0.005098697974783871
VB 10,018.72,1.4917499999999999e+29,69570000.0,2057.0187109468043
WOH G64,"0163,000",3.978e+31,1071378000000.0,0.002312946208969252
TRAPPIST-1,039.6,1.7702099999999997e+29,83484000.0,1695.1357895765332
2MASS J0523-1403,040.3,1.3923e+29,59830199.99999999,2595.841171196618
SDSS J000013.54+255418.6,46.1,9.810989135999999e+30,657465.802884,1514790804.2209275
2MASS J00040288-6410358,192.0,3.883516533e+30,1082494.200708,221187308.49487573
2MASS J00242463-0158201,37.7,1.6147252952999997e+31,723876.4900440001,2056628771.9562316
2MASS J00274197+0503417,236.0,6.336263816999999e+30,956313.895104,462400741.0996664
2MASSW J0030300-145033,87.2,1.1037362777999998e+31,650824.7341679999,1739095455.6633153
2MASS J00332386-1521309,131.0,5.927472602999999e+30,949672.826388,438639496.93231744
2MASS J00345157+0523050,31.0,8.584615494e+30,624260.459304,1470196535.5532086
2MASS 0036+1821,28.6,8.584615494e+30,624260.459304,1470196535.5532086
2MASSW J0045214+163445,57.0,4.701098961e+30,1075853.1319920002,271068853.4045037
WISEP J004701.06+680352.1,40.0,2.4527472839999997e+30,863338.9330800001,219622258.46404302
2MASS J00501994-3322402,34.0,8.175824279999999e+30,624260.459304,1400187176.7173412
2MASS J00584253-0651239,96.0,5.927472602999999e+30,949672.826388,438639496.93231744
2MASSI J0103320+193536,70.0,1.0628571563999997e+31,650824.7341679999,1674684512.86097
SDSSp J010752.33+004156.1,51.0,1.0628571563999997e+31,650824.7341679999,1674684512.86097
2MASSI J0117474-340325,163.0,4.0879121399999993e+30,1075853.1319920002,235712046.4386988
2MASS J01415823-4633574,130.0,4.0879121399999993e+30,1069212.063276,238649239.87258258
SDSS J015141.69+124429.6,70.0,9.606593528999999e+30,644183.665452,1545027455.0783772
SDSS J020742.48+000056.2,111.0,9.606593528999999e+30,644183.665452,1545027455.0783772
2MASS J02103857-3015313,101.0,3.0659341049999996e+30,1016083.513548,198193866.03669146
2MASS J02340093-6442068,155.0,4.0879121399999993e+30,1075853.1319920002,235712046.4386988
2MASS J02411151-0326587,152.0,5.518681388999999e+30,936390.6889559999,420056153.0152024
2MASS J02431371-2453298,35.0,6.745055030999999e+30,657465.802884,1041418677.9018877
LP 771-21,53.0,1.5942857346e+31,717235.4213280001,2068373207.499582
Teegarden's star,12.578,1.6351648559999997e+31,843415.7269320001,1534137751.0663304
2MASS J02535980+3206373,184.0,1.3285714455e+31,1261803.05604,556913783.2935165
WISE J0254+0223,24.0,1.3285714455e+31,1261803.05604,556913783.2935165
DEN 0255-4700,16.2,1.6351648559999997e+31,644183.665452,2629833966.090855
2MASS J03185403-3421292,45.0,1.0015384743e+31,644183.665452,1610773304.2306488
2MASS J03205965+1854233,47.0,1.7986813415999999e+31,763722.90234,2058111044.6611526
2MASS J03231002-4631237,192.0,4.701098961e+30,1102417.406856,258162686.48380738
SDSS J032553.17+042540.1,59.0,9.197802314999998e+30,630901.52802,1542222784.5051227
2MASS J03264225-2102057,80.0,3.6791209259999996e+30,863338.9330800001,329433387.6960646
2MASS J03284265+2302051,98.0,1.1037362777999998e+31,650824.7341679999,1739095455.6633153
2MASS J03341218-4953322,27.0,1.4920879310999998e+31,690671.146464,2087555321.33791
LP 944-20,20.9,1.4920879310999998e+31,949672.826388,1104161492.2779026
2MASP J0345432+254023,88.0,1.5125274917999999e+31,697312.21518,2076036254.2338037
Teide 1,380.0,1.1241758384999998e+31,2510323.974648,119058635.70117952
2MASS J03510004-0052452,48.0,2.0848351914e+31,843415.7269320001,1956025632.6095717
2MASS J03552337+1133437,29.8,4.0879121399999993e+30,876621.070512,355029094.7392799
2MASS J04151954-0935066,18.6,6.131868209999999e+30,630901.52802,1028148523.0034151
2MASS J04285096-2253227,85.0,1.6351648559999997e+31,723876.4900440001,2082662047.550614
2MASS J04351612-1606574,34.0,2.04395607e+31,836774.6582160001,1948232220.5647557
2MASS J04362788-4114465,142.0,7.971428673e+30,1308290.537052,310823585.9243363
2MASS J04390101-2353083,29.5,9.810989135999999e+30,644183.665452,1577900379.6545131
2MASS J04433764+0002040,82.0,4.4967033539999997e+30,1182110.231448,214765485.46303922
2MASS J04455387-3048204,42.0,1.3081318848e+31,664106.8716000001,1979528622.955908
2MASS J04510093-3402150,69.0,2.1257143128e+29,47815694.7552,6205.11962249875
2MASS J05002100+0330501,44.0,1.3081318848e+31,664106.8716000001,1979528622.955908
2MASS J05012406-0010452,64.0,4.292307747e+30,916467.482808,341069538.6512328
2MASS J05160945-0445499,73.0,9.606593528999999e+30,644183.665452,1545027455.0783772
2MASS J0523-1403,40.0,1.3898901275999998e+31,670747.940316,2061806844.3198242
SDSS J053951.99-005902.0,41.62,1.2468132026999999e+31,670747.940316,1849562022.1104305
LSR 0602+3910,34.6,5.723076996e+30,936390.6889559999,435613788.31206185
2MASS J06085283-2753583,102.0,7.767033066e+30,1002801.376116,515479636.8054343
2MASS J06244595-4521548,39.0,1.1446153992e+31,657465.802884,1767255938.2577493
2MASS J06411840-4322329,65.0,1.3694505669e+31,670747.940316,2031486155.432768
DENIS-P J0652197-253450,51.0,1.5329670524999999e+31,697312.21518,2104090798.2099364
2MASS J07075327-4900503,60.0,1.4716483703999998e+31,684030.0777480002,2099132529.762839
UGPS J072227.51-054031.2,13.4,5.314285781999999e+30,650824.7341679999,837342256.430485
2MASSI J0727182+171001,29.6,8.380219886999999e+30,624260.459304,1435191856.135275
2MASS J07290002-3954043,25.8,7.562637458999999e+30,624260.459304,1295173138.4635406
SDSS J074201.41+205520.5,49.0,8.789011100999999e+30,624260.459304,1505201214.9711418
DENIS-P J0751164-253043,55.0,1.4512088096999998e+31,684030.0777480002,2069977911.2939107
2MASS J07522390+1612157,60.0,4.108351700699999e+29,45159267.268800005,13444.97638726405
DENIS J081730.0-615520,16.1,8.993406707999999e+30,624260.459304,1540205894.3890755
2MASS J08251968+2115521,35.0,1.0628571563999997e+31,650824.7341679999,1674684512.86097
SDSSp J083008.12+482847.4,43.0,9.810989135999999e+30,657465.802884,1514790804.2209275
LHS 2021,55.0,1.7986813415999999e+31,763722.90234,2058111044.6611526
SDSS J083048.80+012831.1,77.0,9.402197922e+30,637542.596736,1543821829.1553378
2MASSI J0835425-081923,23.53,1.2672527633999999e+31,664106.8716000001,1917668353.4885356
2MASSI J0847287-153237,43.0,1.3081318848e+31,664106.8716000001,1979528622.955908
2MASS J08533619-0329321,27.6,1.5738461738999997e+31,710594.3526120001,2080199471.1274579
2MASSI J0859254-194926,50.0,1.021978035e+31,650824.7341679999,1610273570.0586255
2MASSI J0937347+293142,20.0,8.584615494e+30,624260.459304,1470196535.5532086
2MASS 0939-2448,17.4,6.540659424e+30,630901.52802,1096691757.8703094
2MASS J09490860-1545485,59.0,1.0015384743e+31,637542.596736,1644505861.4915555
2MASS J10073369-4555147,46.0,8.993406707999999e+30,624260.459304,1540205894.3890755
2MASSI J1010148-040649,55.0,1.0424175957e+31,650824.7341679999,1642479041.459798
2MASS J10224821+5825453,60.0,5.518681388999999e+30,936390.6889559999,420056153.0152024
2MASSW J1036530-344138,53.0,1.0015384743e+31,644183.665452,1610773304.2306488
2MASS J1047538+212423,34.4,8.584615494e+30,624260.459304,1470196535.5532086
DEN 1048-3956,13.15,1.5738461738999997e+31,710594.3526120001,2080199471.1274579
Luhman 16B,6.516,8.789011100999999e+30,677389.0090320001,1278350435.9366596
Luhman 16A,6.516,8.175824279999999e+30,670747.940316,1212827555.4822495
DENIS-P J1058.7-1548,49.0,1.3081318848e+31,664106.8716000001,1979528622.955908
TWA 28,180.0,7.358241851999999e+30,1587215.4231240002,194934411.23451936
Cha 110913-773444,163.0,1.635164856e+30,1195392.36888,76370703.04613845
SDSS J111010.01+011613.1,63.0,1.8395604629999998e+30,823492.520784,181042672.088433
2MASS J11145133-2618235,18.2,6.745055030999999e+30,637542.596736,1107524355.698394
TWA 26,137.0,6.131868209999999e+30,1461035.11752,191715711.15921116
2MASS J11544223-3400390,129.0,7.562637458999999e+30,996160.3074,508628882.287282
2MASSW J1155395-372735,31.0,1.3081318848e+31,664106.8716000001,1979528622.955908
2MASS J12074836-3900043,217.0,3.4747253189999994e+30,1135622.750436,179820214.9285808
2MASSI J1217110-031113,36.0,8.584615494e+30,624260.459304,1470196535.5532086
2M 1237+6526,45.6,8.380219886999999e+30,624260.459304,1435191856.135275
TWA 29,262.0,4.08791214e+29,16602671.79,98976.43114779543
SDSSp J125453.90-012247.4,38.0,9.606593528999999e+30,650824.7341679999,1513657155.8551078
Kelu-1A,61.0,1.2876923240999997e+31,650824.7341679999,2028944698.2738676
Kelu-1B,61.0,1.1854945205999998e+31,650824.7341679999,1867917341.2680051
2MASS J13204427+0409045,101.0,1.3694505669e+31,670747.940316,2031486155.432768
SDSSp J132629.82-003831.5,65.0,1.0424175957e+31,644183.665452,1676519153.3829203
SDSSp J134646.45-003150.4,48.0,8.993406707999999e+30,624260.459304,1540205894.3890755
2MASS J13595510-4034582,51.0,1.2876923240999997e+31,664106.8716000001,1948598488.2222216
ULAS J141623.94+134836.3,29.7,6.540659424e+30,637542.596736,1073963011.5863218
SDSS J141659.78+500626.4,149.0,1.2059340812999998e+31,657465.802884,1861930363.5215569
DENIS-P J142527.97-365023.4,38.0,4.292307747e+30,876621.070512,372780549.47624403
LHS 2924,38.5,1.5534066132e+31,703953.2838960001,2092105944.9627452
2MASS J14392837+1929150,47.0,1.4716483703999998e+31,684030.0777480002,2099132529.762839
LSPM J1440+1339,72.0,1.8804395844e+31,790287.177204,2009443115.2454765
2MASS J14482563+1031590,47.0,1.2059340812999998e+31,657465.802884,1861930363.5215569
CFBDSIR 1458+10A,104.0,2.2687912376999998e+30,996160.3074,152588664.68618459
CFBDSIR 1458+10B,104.0,1.8395604629999998e+30,863338.9330800001,164716693.8480323
TVLM 513-46546,35.1,1.5329670524999999e+31,697312.21518,2104090798.2099364
2MASS 1503+2525,20.7,8.993406707999999e+30,624260.459304,1540205894.3890755
CFBDS J150411+102717,71.0,8.993406707999999e+30,624260.459304,1540205894.3890755
2MASSW J1506544+132106,46.0,1.4103296882999998e+31,677389.0090320001,2051306513.4797559
2MASS 1507-1627,23.9,1.2263736419999999e+31,657465.802884,1893488505.2761595
TVLM 868-110639,53.0,1.6147252952999997e+31,717235.4213280001,2094890812.7239354
2MASSW J1515008+484742,34.0,1.1650549598999998e+31,657465.802884,1798814080.0123515
2MASSI J1526140+204341,67.0,1.1037362777999998e+31,650824.7341679999,1739095455.6633153
DENIS-P J153941.96-052042.4,51.0,1.2876923240999997e+31,664106.8716000001,1948598488.2222216
2MASS J15462718-3325111,37.0,8.993406707999999e+30,624260.459304,1540205894.3890755
2MASSW J1552591+294849,68.0,6.131868209999999e+30,949672.826388,453764996.8265352
2MASSW J1555157-095605,44.0,1.4512088096999998e+31,684030.0777480002,2069977911.2939107
2MASS J16150413+1340079,48.0,8.584615494e+30,624260.459304,1470196535.5532086
SDSSp J162414.37+002915.6,36.0,8.789011100999999e+30,624260.459304,1505201214.9711418
2MASS J16262034+3925190,110.0,1.4512088096999998e+31,684030.0777480002,2069977911.2939107
2MASSW J1632291+190441,50.0,1.0015384743e+31,644183.665452,1610773304.2306488
WISEPA J164715.59+563208.2,28.0,8.380219886999999e+30,624260.459304,1435191856.135275
LSPM J1658+7027,60.0,1.4920879310999998e+31,690671.146464,2087555321.33791
2MASSI J1726000+153819,114.0,4.9054945679999994e+30,929749.6202400001,378736343.67778856
SDSSp J175032.96+175903.9,90.0,9.606593528999999e+30,644183.665452,1545027455.0783772
2MASS J18283572-4849046,39.0,9.197802314999998e+30,630901.52802,1542222784.5051227
LSR J1835+3259,18.5,1.5738461738999997e+31,710594.3526120001,2080199471.1274579
2MASSW J1841086+311727,138.0,1.3694505669e+31,670747.940316,2031486155.432768
2MASS J18432213+4040209,46.0,1.9621978271999998e+31,810210.3833519999,1994956284.89241
2MASS J20004841-7523070,105.0,5.109890175e+30,1248520.918608,218779246.36208457
SDSS J204749.61-071818.3,65.0,9.402197922e+30,637542.596736,1543821829.1553378
2MASSI J2057540-025230,47.0,1.4307692489999998e+31,677389.0090320001,2081035593.3852596
2MASSI J2104149-103736,62.0,1.4103296882999998e+31,677389.0090320001,2051306513.4797559
PSO J318.5-22,80.0,1.3285714454999997e+30,1016083.513548,85884008.61589962
HB 2124-4228,113.0,1.9213187057999997e+31,803569.3146360001,1985815630.740038
2MASS J21392676+0220226,32.1,9.402197922e+30,637542.596736,1543821829.1553378
2MASS J21481628+4003593,26.3,1.1241758384999998e+31,657465.802884,1735697796.5031462
2MASSW J2206450-421721,93.0,4.4967033539999997e+30,883262.1392280001,384681420.1713457
2MASSW J2208136+292121,154.0,5.518681388999999e+30,936390.6889559999,420056153.0152024
2MASSW J2224438-015852,38.0,1.2468132026999999e+31,657465.802884,1925046647.0307622
2MASS J22282889-4310262,35.0,8.584615494e+30,624260.459304,1470196535.5532086
2MASS J22373255+3922398,64.0,1.4920879310999998e+31,690671.146464,2087555321.33791
2MASSW J2244316+204343,56.0,2.4527472839999997e+30,856697.864364,223040452.37920365
2MASS J23224684-3133231,56.0,4.9054945679999994e+30,923108.551524,384205389.7875191
2MASS J23225299-6151275,148.0,3.4747253189999994e+30,1055929.925844,207987140.7272905
2MASS J23515044-2537367,67.0,1.7986813415999999e+31,770363.971056,2022779322.6548562
2MASSI J2356547-155310,74.0,1.6351648559999997e+31,723876.4900440001,2082662047.550614
WISE 0410+1502,20.0,1.2263736419999999e+30,777005.0397719999,135569295.34817478
WISE 0458+6434A,35.9,3.0659341049999996e+30,2789248.86072,26301134.977624204
WISE 0458+6434B,35.9,2.0439560699999997e+30,2523606.11208,21419760.89590448
WISE 1405+5534,25.3,6.131868209999999e+30,571131.909576,1254602544.6330209